l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,,,ord_phone_apply_02,(미성년자) 법정대리인 인증,"T월드, T다이렉트"
,,,,,ord_phone_apply_03,"(번호이동) 번호이동 인증, 통신사 정보 입력","T월드, T다이렉트"
,,,,,ord_phone_apply_04,(신규가입) 희망 번호 입력,"T월드, T다이렉트"
,,,,,ord_phone_apply_05,개인 정보 입력 (주소),"T월드, T다이렉트"
,,,,,ord_phone_apply_06,"SIM 구매 유무 및 USIM, eSIM 선택","T월드, T다이렉트"
,,,,,ord_phone_apply_07,납부 방식 선택 (계좌/카드) 및 유효성 체크,"T월드, T다이렉트"
,,,,,ord_phone_apply_08,"요금안내서 수신 방법 선택(Bill Letter앱, 문자, 이메일, T world)","T월드, T다이렉트"
,,,,,ord_phone_apply_09,휴대폰 배송 방법 선택 및 배송 정보 확인,"T월드, T다이렉트"
,,,,,ord_phone_apply_10,휴대폰 번호 인증,"T월드, T다이렉트"
,,,,,ord_phone_apply_11,부가서비스 선택,"T월드, T다이렉트"
,,,,,ord_phone_apply_12,제휴카드 할인 선택,"T월드, T다이렉트"
,,,,,ord_phone_apply_13,약관 동의,"T월드, T다이렉트"
,,,,,ord_phone_apply_14,결제하기,"T월드, T다이렉트"
,,,ord_phone_cart,장바구니,ord_phone_cart_01,장바구니 담기,T다이렉트
,,,,,ord_phone_cart_02,장바구니 조회,T다이렉트
,,,,,ord_phone_cart_03,장바구니 삭제,T다이렉트
,,,ord_phone_comp,주문 완료/내역,ord_act_self_01,주문완료 확인 / 주문내역 상세 확인,"T월드, T다이렉트"
,ord_act,USIM/eSIM 개통,ord_act_self,USIM/eSIM 신청서 작성,ord_act_self_02,SIM 유형 선택(USIM/eSIM),"T월드, T다이렉트"
,,,,,ord_act_self_03,요금제 선택 및 안내사항 확인,"T월드, T다이렉트"
,,,,,ord_act_self_04,월 납부 금액 확인,"T월드, T다이렉트"
,,,,,ord_act_self_05,유형 선택(기기변경/번호이동/신규가입),"T월드, T다이렉트"
,,,,,ord_act_self_06,(USIM) 유심 구매 여부 변경 (신규/기존),"T월드, T다이렉트"
,,,,,ord_act_self_07,IMEI(휴대폰식별번호) 입력,"T월드, T다이렉트"
,,,,,ord_act_self_08,본인인증 및 안내 사항 확인,"T월드, T다이렉트"
,,,,,ord_act_self_09,(신규가입) 희망번호 입력,"T월드, T다이렉트"
,,,,,ord_act_self_10,보험 서비스 추천,"T월드, T다이렉트"
,,,,,ord_act_self_11,(USIM) 배송정보 입력,"T월드, T다이렉트"
